Room ID,Host ID,Neighbourhood,Room type,Room Price,Minimum nights,Number of reviews,Date last review,Number of reviews per month,Rooms rent by the host,Availibility,Updated Date,City,Country,Coordinates
26698084,60854661,Chaoyang,Private room,284,1,2,9/6/2019,0.15,4,257,9/23/2019,Beijing,China,"39.9730020272, 116.448215839"
26821005,201709803,Chaoyang,Private room,220,1,3,9/29/2018,0.22,1,177,9/23/2019,Beijing,China,"39.9256863509, 116.441276298"
26829434,199316654,Chaoyang,Entire home/apt,498,1,11,6/8/2019,0.81,7,81,9/23/2019,Beijing,China,"39.8934469709, 116.465228963"
26910454,189886865,Chaoyang,Shared room,92,1,1,7/27/2018,0.07,1,89,9/23/2019,Beijing,China,"39.9291159356, 116.616211286"
26927976,169220592,Chaoyang,Entire home/apt,661,25,49,9/4/2019,3.49,14,200,9/23/2019,Beijing,China,"39.8923608205, 116.440338469"
26997837,202922659,Chaoyang,Entire home/apt,697,1,2,3/30/2019,0.31,1,165,9/23/2019,Beijing,China,"40.0402632224, 116.441826493"
27038398,201691755,Chaoyang,Private room,988,1,0,,,3,83,9/23/2019,Beijing,China,"39.9217434863, 116.43192975"
27104392,162737493,Chaoyang,Entire home/apt,996,1,2,4/5/2019,0.15,25,365,9/23/2019,Beijing,China,"39.9166063151, 116.506469173"
27121387,60854661,Chaoyang,Shared room,128,1,18,9/7/2019,1.37,4,244,9/23/2019,Beijing,China,"39.9751783592, 116.448584992"
27223614,204999692,Chaoyang,Entire home/apt,313,2,29,8/27/2019,2.1,1,348,9/23/2019,Beijing,China,"39.8927866192, 116.453927931"
27235626,192196591,Chaoyang,Entire home/apt,462,1,36,8/22/2019,2.68,8,201,9/23/2019,Beijing,China,"39.9730973731, 116.449166913"
27317314,180225815,Chaoyang,Private room,313,1,1,10/7/2018,0.08,2,365,9/23/2019,Beijing,China,"39.8278049413, 116.477508493"
27325862,83841590,Chaoyang,Private room,448,1,1,8/14/2018,0.07,8,365,9/23/2019,Beijing,China,"39.8861432192, 116.475642638"
27339607,186844719,Chaoyang,Entire home/apt,498,1,1,7/31/2019,0.54,11,361,9/23/2019,Beijing,China,"39.9165865805, 116.524214119"
27395279,107973759,Chaoyang,Private room,262,1,89,9/23/2019,6.42,1,72,9/23/2019,Beijing,China,"39.894530805, 116.477953768"
27540137,177444791,Chaoyang,Entire home/apt,626,1,62,8/30/2019,4.66,17,290,9/23/2019,Beijing,China,"39.8991862614, 116.470796076"
27558692,8837778,Chaoyang,Private room,277,1,14,4/11/2019,1.06,9,81,9/23/2019,Beijing,China,"39.9062466436, 116.478509544"
27567975,152708043,Chaoyang,Entire home/apt,626,1,71,9/3/2019,5.31,5,89,9/23/2019,Beijing,China,"39.9285766705, 116.457252885"
27584535,103960302,Chaoyang,Entire home/apt,1280,2,0,,,15,14,9/23/2019,Beijing,China,"39.9161701295, 116.457270965"
27695963,31280856,Chaoyang,Private room,249,1,6,9/3/2019,0.44,37,361,9/23/2019,Beijing,China,"39.9105555514, 116.503384261"
27767116,57526351,Chaoyang,Private room,149,2,21,6/30/2019,1.57,2,0,9/23/2019,Beijing,China,"40.0054931259, 116.412345389"
27868433,56817453,Chaoyang,Entire home/apt,491,2,2,3/31/2019,0.17,1,85,9/23/2019,Beijing,China,"39.9136012104, 116.487896163"
27892754,70648209,Chaoyang,Private room,199,1,7,9/20/2019,0.56,6,321,9/23/2019,Beijing,China,"39.9653582564, 116.45230499"
27931147,210234419,Chaoyang,Private room,491,1,0,,,31,89,9/23/2019,Beijing,China,"39.9479533515, 116.457563882"
27966790,194515836,Chaoyang,Entire home/apt,519,1,8,8/19/2019,0.67,3,357,9/23/2019,Beijing,China,"39.9245249522, 116.618597633"
27977840,72597704,Chaoyang,Entire home/apt,420,1,8,8/29/2019,0.62,6,365,9/23/2019,Beijing,China,"39.9872336067, 116.472625581"
27993061,181090713,Chaoyang,Entire home/apt,398,1,15,7/16/2019,1.23,1,51,9/23/2019,Beijing,China,"39.928667764, 116.61472727"
28034754,145743233,Chaoyang,Private room,270,1,0,,,7,327,9/23/2019,Beijing,China,"40.0008374223, 116.4811319"
28147342,151027648,Chaoyang,Entire home/apt,462,1,2,1/2/2019,0.21,43,318,9/23/2019,Beijing,China,"39.8933151666, 116.469518"
28210594,101454572,Chaoyang,Entire home/apt,369,1,36,9/7/2019,2.9,1,0,9/23/2019,Beijing,China,"39.8943468938, 116.444171415"
28267534,6532783,Chaoyang,Entire home/apt,619,2,42,8/2/2019,3.44,3,327,9/23/2019,Beijing,China,"39.8955906657, 116.461585165"
28297209,74558000,Chaoyang,Private room,504,1,5,1/2/2019,0.41,1,0,9/23/2019,Beijing,China,"39.9262151413, 116.474379221"
28373246,151027648,Chaoyang,Entire home/apt,540,1,8,7/16/2019,1.4,43,357,9/23/2019,Beijing,China,"39.9968887831, 116.476597413"
28391142,114408631,Chaoyang,Entire home/apt,518,1,0,,,2,0,9/23/2019,Beijing,China,"39.9059838528, 116.443026188"
28457593,214614058,Chaoyang,Entire home/apt,498,1,48,9/10/2019,3.93,1,360,9/23/2019,Beijing,China,"39.8930387559, 116.504073042"
28505286,214568114,Chaoyang,Entire home/apt,448,1,1,5/4/2019,0.21,7,86,9/23/2019,Beijing,China,"39.9002707826, 116.504082532"
28528021,186604107,Chaoyang,Private room,177,1,9,6/30/2019,0.76,21,83,9/23/2019,Beijing,China,"39.8887486549, 116.464804726"
28528587,68764770,Chaoyang,Private room,313,1,12,9/19/2019,1.32,1,257,9/23/2019,Beijing,China,"39.8717900462, 116.471727511"
28534406,210908991,Chaoyang,Entire home/apt,668,1,2,8/18/2019,0.83,6,365,9/23/2019,Beijing,China,"39.9256364881, 116.457443546"
28703324,211606667,Chaoyang,Entire home/apt,640,2,9,8/25/2019,0.76,3,359,9/23/2019,Beijing,China,"39.9238107542, 116.573308126"
28712763,184243561,Chaoyang,Entire home/apt,491,1,10,9/16/2019,0.85,9,310,9/23/2019,Beijing,China,"39.900052314, 116.487173993"
28725212,20788084,Chaoyang,Entire home/apt,228,1,21,9/14/2019,4.26,63,359,9/23/2019,Beijing,China,"39.9203179071, 116.494732938"
28765573,216981617,Chaoyang,Entire home/apt,170,2,0,,,1,84,9/23/2019,Beijing,China,"40.046236742, 116.414335124"
28790445,159064202,Chaoyang,Entire home/apt,683,1,19,9/11/2019,1.68,28,80,9/23/2019,Beijing,China,"39.9343110942, 116.453155575"
28791295,158663144,Chaoyang,Entire home/apt,425,20,6,8/7/2019,0.54,9,0,9/23/2019,Beijing,China,"39.8929316722, 116.445998848"
28792484,118190644,Chaoyang,Entire home/apt,391,1,0,,,1,142,9/23/2019,Beijing,China,"39.985780522, 116.487221905"
28815318,36166376,Chaoyang,Entire home/apt,299,2,13,8/23/2019,1.1,1,337,9/23/2019,Beijing,China,"39.9796852144, 116.486090403"
28843584,208854174,Chaoyang,Entire home/apt,235,1,5,4/29/2019,0.42,7,365,9/23/2019,Beijing,China,"39.8974982588, 116.548393107"
28852548,209669028,Chaoyang,Entire home/apt,356,30,0,,,30,268,9/23/2019,Beijing,China,"39.9906962159, 116.470546123"
28881476,217003445,Chaoyang,Private room,170,1,3,1/20/2019,0.32,1,0,9/23/2019,Beijing,China,"40.0416906558, 116.423188477"
28885827,142349468,Chaoyang,Private room,228,2,14,9/17/2019,1.18,2,90,9/23/2019,Beijing,China,"40.0113975777, 116.465331669"
28941986,218147772,Chaoyang,Entire home/apt,597,1,13,8/11/2019,1.1,3,354,9/23/2019,Beijing,China,"39.9847022173, 116.408121369"
29062691,182909291,Chaoyang,Private room,619,1,0,,,10,365,9/23/2019,Beijing,China,"39.9188885186, 116.442069991"
29106385,106568345,Chaoyang,Private room,149,1,1,10/25/2018,0.09,3,179,9/23/2019,Beijing,China,"39.9108401307, 116.485386793"
29121346,219439878,Chaoyang,Entire home/apt,1500,1,0,,,4,0,9/23/2019,Beijing,China,"39.9850128079, 116.492042473"
29140421,182909291,Chaoyang,Entire home/apt,1301,1,1,3/17/2019,0.16,10,359,9/23/2019,Beijing,China,"39.9179659234, 116.441920809"
29160506,210619638,Chaoyang,Private room,256,2,0,,,2,354,9/23/2019,Beijing,China,"40.0439349074, 116.436271802"
29341487,150206226,Chaoyang,Entire home/apt,320,360,1,10/19/2018,0.09,1,365,9/23/2019,Beijing,China,"39.9704920604, 116.480340072"
29493587,158662858,Chaoyang,Entire home/apt,469,1,38,6/30/2019,3.39,5,21,9/23/2019,Beijing,China,"39.892724704, 116.444562971"
29597590,49063370,Chaoyang,Entire home/apt,313,1,2,6/23/2019,0.62,2,358,9/23/2019,Beijing,China,"39.9663210348, 116.446697298"
29625122,136552084,Chaoyang,Entire home/apt,440,1,0,,,29,365,9/23/2019,Beijing,China,"39.9411813535, 116.447614144"
29694427,136552084,Chaoyang,Entire home/apt,440,1,0,,,29,365,9/23/2019,Beijing,China,"39.942020328, 116.448276649"
29694708,136552084,Chaoyang,Entire home/apt,440,1,0,,,29,365,9/23/2019,Beijing,China,"39.9404544539, 116.447842544"
29741218,223657251,Chaoyang,Private room,171,3,37,9/14/2019,3.6,2,78,9/23/2019,Beijing,China,"39.9281561023, 116.58287194"
29833307,21699957,Chaoyang,Entire home/apt,397,1,1,12/23/2018,0.11,1,0,9/23/2019,Beijing,China,"39.9244325813, 116.441303097"
29836943,152111513,Chaoyang,Entire home/apt,1000,3,0,,,3,0,9/23/2019,Beijing,China,"39.8954809989, 116.459208168"
29886313,224744741,Chaoyang,Private room,270,6,2,11/16/2018,0.19,3,90,9/23/2019,Beijing,China,"39.9825810943, 116.466021175"
29910616,157721038,Chaoyang,Private room,171,1,10,6/30/2019,0.95,13,76,9/23/2019,Beijing,China,"39.9458931012, 116.435794554"
30027656,214747089,Chaoyang,Entire home/apt,391,1,41,9/22/2019,3.97,12,96,9/23/2019,Beijing,China,"39.937424585, 116.454127358"
30068306,119381472,Chaoyang,Entire home/apt,540,1,16,8/30/2019,1.56,3,341,9/23/2019,Beijing,China,"39.9114507517, 116.493927219"
30239542,12189613,Chaoyang,Entire home/apt,397,5,39,9/23/2019,3.86,1,18,9/23/2019,Beijing,China,"39.9327320432, 116.460366289"
30241522,227096342,Chaoyang,Private room,1401,1,1,4/29/2019,0.2,13,365,9/23/2019,Beijing,China,"39.9489639061, 116.45094758"
30266022,212590640,Chaoyang,Private room,220,1,0,,,3,351,9/23/2019,Beijing,China,"39.9174196076, 116.470384633"
30357198,227413874,Chaoyang,Entire home/apt,398,30,22,9/2/2019,2.24,7,117,9/23/2019,Beijing,China,"39.9368597595, 116.444803416"
30357704,227413874,Chaoyang,Entire home/apt,398,30,23,8/9/2019,2.35,7,162,9/23/2019,Beijing,China,"39.9415037757, 116.449647415"
30367843,213903652,Chaoyang,Entire home/apt,640,1,0,,,22,29,9/23/2019,Beijing,China,"39.9194396163, 116.429758299"
30410929,228338973,Chaoyang,Entire home/apt,298,3,0,,,1,11,9/23/2019,Beijing,China,"39.9613437033, 116.486720193"
30572698,135287911,Chaoyang,Private room,9999,1,0,,,21,0,9/23/2019,Beijing,China,"40.0017169811, 116.414454606"
30680168,229639080,Chaoyang,Entire home/apt,612,1,0,,,2,365,9/23/2019,Beijing,China,"39.9185319823, 116.439612686"
30682708,135287911,Chaoyang,Private room,5999,1,0,,,21,0,9/23/2019,Beijing,China,"39.9242882475, 116.519895401"
30839424,204129501,Chaoyang,Shared room,78,1,7,8/21/2019,0.83,5,365,9/23/2019,Beijing,China,"39.9228432328, 116.530038313"
30949756,21740175,Chaoyang,Entire home/apt,484,2,14,8/14/2019,1.76,7,46,9/23/2019,Beijing,China,"39.8966640289, 116.444038367"
31005317,214350091,Chaoyang,Entire home/apt,526,1,23,4/7/2019,2.55,16,201,9/23/2019,Beijing,China,"39.9580421061, 116.44246599"
31031219,228586217,Chaoyang,Entire home/apt,491,1,17,8/31/2019,2.25,7,266,9/23/2019,Beijing,China,"39.9911832386, 116.382993331"
31075962,95981511,Chaoyang,Entire home/apt,356,1,1,2/15/2019,0.14,5,365,9/23/2019,Beijing,China,"39.8983319229, 116.547360919"
31079309,232194329,Chaoyang,Entire home/apt,320,1,1,1/22/2019,0.12,3,340,9/23/2019,Beijing,China,"39.9632801226, 116.436556542"
31084668,219630118,Chaoyang,Private room,213,1,3,7/12/2019,0.35,13,74,9/23/2019,Beijing,China,"39.9442395176, 116.433470449"
31095982,232208083,Chaoyang,Entire home/apt,469,1,0,,,1,178,9/23/2019,Beijing,China,"39.8960887017, 116.491988734"
31102997,210234419,Chaoyang,Entire home/apt,889,1,0,,,31,365,9/23/2019,Beijing,China,"39.9857102799, 116.476881271"
31136537,231356082,Chaoyang,Entire home/apt,1301,2,0,,,3,143,9/23/2019,Beijing,China,"39.9063075183, 116.56949989"
31160883,169233777,Chaoyang,Entire home/apt,391,1,2,5/26/2019,0.27,50,364,9/23/2019,Beijing,China,"39.9247783363, 116.616128196"
31216227,230114738,Chaoyang,Entire home/apt,597,1,5,7/15/2019,0.67,28,362,9/23/2019,Beijing,China,"40.0067520646, 116.403092269"
31269927,233999486,Chaoyang,Private room,640,1,0,,,5,365,9/23/2019,Beijing,China,"39.9120884927, 116.458607157"
31316539,233552923,Chaoyang,Entire home/apt,356,1,4,8/17/2019,0.54,20,359,9/23/2019,Beijing,China,"39.9233172914, 116.615171691"
31322465,118741230,Chaoyang,Private room,299,2,3,2/22/2019,0.4,6,362,9/23/2019,Beijing,China,"40.0027742342, 116.478390274"
31367602,196377840,Chaoyang,Entire home/apt,425,1,1,9/20/2019,1,15,360,9/23/2019,Beijing,China,"39.9394359212, 116.447644239"
31369808,202718002,Chaoyang,Entire home/apt,896,1,0,,,7,360,9/23/2019,Beijing,China,"40.0385651427, 116.419754979"
31406447,118774091,Chaoyang,Private room,249,1,7,9/19/2019,0.95,2,353,9/23/2019,Beijing,China,"39.9705661291, 116.488507241"
31475813,235586583,Chaoyang,Entire home/apt,356,1,8,6/28/2019,0.94,20,349,9/23/2019,Beijing,China,"39.9220128694, 116.455118473"
31695983,25320887,Chaoyang,Private room,163,2,1,2/6/2019,0.13,5,0,9/23/2019,Beijing,China,"39.9492251479, 116.45638259"
31846203,87027134,Chaoyang,Entire home/apt,397,2,10,8/13/2019,1.3,1,0,9/23/2019,Beijing,China,"39.9189119298, 116.451629602"
31852147,161721900,Chaoyang,Entire home/apt,889,1,1,4/28/2019,0.2,8,365,9/23/2019,Beijing,China,"39.9849978823, 116.491665758"
31908002,213511602,Chaoyang,Entire home/apt,498,1,16,9/15/2019,2.09,4,357,9/23/2019,Beijing,China,"39.8931453088, 116.50594465"
31935989,239397074,Chaoyang,Entire home/apt,270,2,20,9/2/2019,2.67,9,90,9/23/2019,Beijing,China,"39.9074516414, 116.554540297"
32184021,29719851,Chaoyang,Entire home/apt,398,2,9,7/30/2019,1.24,25,50,9/23/2019,Beijing,China,"39.9916126738, 116.406548186"
32207557,241689369,Chaoyang,Entire home/apt,590,1,1,4/6/2019,0.17,6,364,9/23/2019,Beijing,China,"39.8738576063, 116.453775479"
36319298,272922214,Chaoyang,Entire home/apt,468,1,0,,,3,364,9/23/2019,Beijing,China,"39.8995784496, 116.470449311"
36361648,41586035,Chaoyang,Private room,1003,1,0,,,1,4,9/23/2019,Beijing,China,"39.8667517199, 116.483136021"
36377256,252671440,Chaoyang,Entire home/apt,996,1,1,8/15/2019,0.73,7,347,9/23/2019,Beijing,China,"39.8944823479, 116.502968834"
36389949,210234419,Chaoyang,Entire home/apt,690,1,0,,,31,365,9/23/2019,Beijing,China,"39.9540402142, 116.458788444"
36393770,187960049,Chaoyang,Entire home/apt,590,1,10,9/20/2019,3.7,41,359,9/23/2019,Beijing,China,"39.931324806, 116.46801315"
36406923,42541764,Chaoyang,Entire home/apt,832,1,0,,,12,91,9/23/2019,Beijing,China,"39.9330676601, 116.445254998"
36408835,247208109,Chaoyang,Entire home/apt,1301,1,0,,,4,179,9/23/2019,Beijing,China,"39.8882705051, 116.469811884"
36428396,270604263,Chaoyang,Private room,327,1,2,9/6/2019,1.33,2,90,9/23/2019,Beijing,China,"39.9932558224, 116.431145498"
36457270,184309978,Chaoyang,Entire home/apt,498,2,0,,,18,364,9/23/2019,Beijing,China,"39.9133914968, 116.525896785"
36458708,274124553,Chaoyang,Private room,299,1,0,,,4,179,9/23/2019,Beijing,China,"39.9122579088, 116.476446085"
36494437,132558211,Chaoyang,Private room,597,1,1,7/27/2019,0.5,1,77,9/23/2019,Beijing,China,"39.9199079769, 116.45776483"
36535058,111865490,Chaoyang,Entire home/apt,569,1,1,7/28/2019,0.51,20,365,9/23/2019,Beijing,China,"39.9338368633, 116.519282621"
36537079,270168561,Chaoyang,Shared room,199,1,1,7/21/2019,0.45,1,88,9/23/2019,Beijing,China,"39.9683349719, 116.45217119"
36551668,183628637,Chaoyang,Entire home/apt,348,2,14,9/15/2019,5.53,7,84,9/23/2019,Beijing,China,"39.9000100145, 116.548632097"
36558657,271731308,Chaoyang,Private room,299,1,1,9/14/2019,1,3,85,9/23/2019,Beijing,China,"39.9747389467, 116.486101235"
36589304,272938670,Chaoyang,Private room,967,1,1,8/25/2019,1,19,358,9/23/2019,Beijing,China,"39.9080923442, 116.560535377"
36642565,258534938,Chaoyang,Entire home/apt,996,5,6,8/19/2019,2.54,9,180,9/23/2019,Beijing,China,"39.8925870627, 116.446152692"
36654307,261469967,Chaoyang,Private room,249,1,8,9/19/2019,3.87,3,166,9/23/2019,Beijing,China,"40.0043285527, 116.467611621"
36737406,42014060,Chaoyang,Private room,262,1,0,,,2,0,9/23/2019,Beijing,China,"39.9546553179, 116.447568187"
36779276,212769068,Chaoyang,Entire home/apt,590,2,0,,,7,365,9/23/2019,Beijing,China,"39.9521621322, 116.456414846"
36805371,210935020,Chaoyang,Entire home/apt,292,1,1,8/26/2019,1,10,363,9/23/2019,Beijing,China,"39.8988173632, 116.548735356"
36837051,145937469,Chaoyang,Entire home/apt,434,1,0,,,11,23,9/23/2019,Beijing,China,"39.9231764464, 116.573970647"
36916389,97703961,Chaoyang,Private room,206,1,7,8/29/2019,3.23,4,74,9/23/2019,Beijing,China,"39.9757566794, 116.39436076"
36954599,276483323,Chaoyang,Entire home/apt,498,1,2,8/22/2019,1,2,87,9/23/2019,Beijing,China,"39.8929590793, 116.504148866"
37022655,275162967,Chaoyang,Entire home/apt,469,1,4,8/26/2019,2,5,206,9/23/2019,Beijing,China,"39.9217326989, 116.569846615"
37191709,99479840,Chaoyang,Entire home/apt,370,1,7,8/22/2019,4.2,1,8,9/23/2019,Beijing,China,"39.8487410795, 116.557358321"
37229035,119778455,Chaoyang,Entire home/apt,270,1,8,9/1/2019,5,1,356,9/23/2019,Beijing,China,"39.9293573364, 116.505858683"
37235857,14217624,Chaoyang,Entire home/apt,299,1,1,8/9/2019,0.64,1,58,9/23/2019,Beijing,China,"39.9308885808, 116.50492131"
37338517,169290076,Chaoyang,Entire home/apt,498,1,2,8/21/2019,1.54,2,85,9/23/2019,Beijing,China,"39.9872675504, 116.469915332"
37340462,281226818,Chaoyang,Entire home/apt,695,1,0,,,38,364,9/23/2019,Beijing,China,"39.9063654131, 116.465477236"
37340554,281226818,Chaoyang,Entire home/apt,787,1,0,,,38,361,9/23/2019,Beijing,China,"39.9062395302, 116.4646085"
37342475,281244923,Chaoyang,Private room,228,1,0,,,51,353,9/23/2019,Beijing,China,"39.9066839383, 116.562293483"
37344065,281244923,Chaoyang,Private room,228,1,0,,,51,353,9/23/2019,Beijing,China,"39.9065945561, 116.559572865"
37344366,281244923,Chaoyang,Private room,199,1,0,,,51,352,9/23/2019,Beijing,China,"39.9151012844, 116.555421816"
37346892,280917848,Chaoyang,Entire home/apt,697,1,4,9/9/2019,2.5,1,180,9/23/2019,Beijing,China,"39.8896405086, 116.451627484"
37347936,281244923,Chaoyang,Private room,292,1,0,,,51,333,9/23/2019,Beijing,China,"39.9091307365, 116.507952315"
37353746,103968626,Chaoyang,Entire home/apt,411,1,0,,,15,0,9/23/2019,Beijing,China,"39.9266881779, 116.449947965"
37411995,103960302,Chaoyang,Entire home/apt,967,2,1,8/31/2019,1,15,20,9/23/2019,Beijing,China,"39.9146297219, 116.452201618"
37479199,207508318,Chaoyang,Entire home/apt,391,1,1,8/22/2019,0.88,5,363,9/23/2019,Beijing,China,"39.9979323642, 116.419192186"
37479368,282274278,Chaoyang,Entire home/apt,519,1,0,,,3,365,9/23/2019,Beijing,China,"39.8953236405, 116.500037151"
37509582,283123097,Chaoyang,Entire home/apt,740,1,1,8/14/2019,0.71,3,171,9/23/2019,Beijing,China,"39.9318828485, 116.467772489"
37510586,274950960,Chaoyang,Entire home/apt,548,1,0,,,13,58,9/23/2019,Beijing,China,"39.9057961913, 116.443015474"
37522560,129847609,Chaoyang,Private room,348,1,2,9/18/2019,2,1,1,9/23/2019,Beijing,China,"39.9679673691, 116.398600453"
37602703,277294754,Chaoyang,Private room,235,1,2,8/28/2019,1.36,3,365,9/23/2019,Beijing,China,"39.9834362314, 116.431263467"
37661803,107828632,Chaoyang,Entire home/apt,356,1,3,9/3/2019,2.73,1,36,9/23/2019,Beijing,China,"39.9951219798, 116.432064217"
37694797,284911033,Chaoyang,Private room,199,60,0,,,2,90,9/23/2019,Beijing,China,"39.9339117301, 116.444119042"
37699354,284940657,Chaoyang,Entire home/apt,327,1,3,9/13/2019,2.43,1,361,9/23/2019,Beijing,China,"39.8919687429, 116.464475335"
37704136,216986071,Chaoyang,Entire home/apt,484,1,0,,,10,82,9/23/2019,Beijing,China,"39.8694177178, 116.44352507"
37743192,97403092,Chaoyang,Private room,348,1,2,9/2/2019,2,3,88,9/23/2019,Beijing,China,"39.9343279009, 116.512853549"
37783155,143689357,Chaoyang,Entire home/apt,1188,2,0,,,2,365,9/23/2019,Beijing,China,"39.8963318496, 116.470019699"
37784193,251265327,Chaoyang,Entire home/apt,560,1,0,,,22,362,9/23/2019,Beijing,China,"39.9230947398, 116.456592842"
37797646,97132326,Chaoyang,Private room,171,1,3,9/20/2019,3,5,358,9/23/2019,Beijing,China,"39.9045029561, 116.460134892"
37845347,286322107,Chaoyang,Entire home/apt,661,1,0,,,13,360,9/23/2019,Beijing,China,"39.9191729935, 116.436213771"
37845438,286322107,Chaoyang,Entire home/apt,661,1,1,8/24/2019,0.94,13,365,9/23/2019,Beijing,China,"39.9183886567, 116.437879588"
37863369,163378782,Chaoyang,Private room,242,1,1,8/31/2019,1,3,177,9/23/2019,Beijing,China,"39.9798525878, 116.486341901"
37869096,64276040,Chaoyang,Private room,164,1,6,9/22/2019,6,2,255,9/23/2019,Beijing,China,"39.9171183403, 116.479391646"
